issueid,id,comment_seq,utr_seq,author,created,is_private,actionbody,author_role
1004298.0,1048581.0,6,6,.wy0w13yhr,2022-01-17 06:49:16+00:00,0.0,ph_technical,reporter
1004298.0,1048581.0,6,7,.wy0w13yhr,2022-01-17 06:49:16+00:00,0.0,tls ph_path server is enabling the beast attack,reporter
1004298.0,1048581.0,6,8,.wy0w13yhr,2022-01-17 06:49:16+00:00,0.0,ph_ip_address,reporter
1004298.0,1048581.0,6,9,.wy0w13yhr,2022-01-17 06:49:16+00:00,0.0,ph_technical,reporter
1004298.0,1048581.0,6,10,.wy0w13yhr,2022-01-17 06:49:16+00:00,0.0,ph_technical,reporter
1004298.0,1048581.0,6,11,.wy0w13yhr,2022-01-17 06:49:16+00:00,0.0,tls ph_path server supports ph_technical cipher algorithms (ph_technical) ph_ip_address ph_technical,reporter
1004298.0,1048581.0,6,12,.wy0w13yhr,2022-01-17 06:49:16+00:00,0.0,below are web ph_technical please advice how to disable http for  below servers :,reporter
1004298.0,1048581.0,6,13,.wy0w13yhr,2022-01-17 06:49:16+00:00,0.0,vulnerabilities ip port http trace method enabled,reporter
1004298.0,1048581.0,6,14,.wy0w13yhr,2022-01-17 06:49:16+00:00,0.0,ph_ip_address,reporter
1004298.0,1048581.0,6,15,.wy0w13yhr,2022-01-17 06:49:16+00:00,0.0,ph_technical,reporter
1004298.0,1048581.0,6,16,.wy0w13yhr,2022-01-17 06:49:16+00:00,0.0,ph_technical,reporter
1004298.0,1048581.0,6,17,.wy0w13yhr,2022-01-17 06:49:16+00:00,0.0,ph_technical,reporter
1004298.0,1049252.0,7,0,4ops,2022-01-20 04:35:48+00:00,0.0,greetings,assignee
1004298.0,1049252.0,7,1,4ops,2022-01-20 04:35:48+00:00,0.0,we have updated server ph_ip_address so ph_technical and tomcats running now with ph_technical . 2 within other server ( ph_ip_address ) to complete the configurations ,assignee
1004298.0,1050174.0,8,0,4ops,2022-01-25 06:45:07+00:00,0.0,greetings,assignee
1004298.0,1050174.0,8,1,4ops,2022-01-25 06:45:07+00:00,0.0,all ph_technical applications and tomcat are using ph_technical . 2 so please check it on test server and confirm to apply the same on production ,assignee
1004298.0,1050775.0,9,0,.wy0w13yhr,2022-01-27 06:37:28+00:00,0.0,dear  ph_user ,reporter
1004298.0,1050775.0,9,1,.wy0w13yhr,2022-01-27 06:37:28+00:00,0.0,"our iso team preform a scanning on both uat servers ph_ip_address , ph_ip_address to test the fixed ph_technical but unfortunately still we can see same vulnerabilities are open . ",reporter
1004298.0,1050775.0,9,2,.wy0w13yhr,2022-01-27 06:37:28+00:00,0.0,please refer to attached excel sheet where you can find list of tls ph_path related ph_technical and http trace method enabled ph_technical are still reported . ,reporter
1004298.0,1050782.0,10,0,4ops,2022-01-27 06:50:56+00:00,0.0,greetings,assignee
1004298.0,1050782.0,10,1,4ops,2022-01-27 06:50:56+00:00,0.0,please share the new report,assignee
1004298.0,1050785.0,11,0,.wy0w13yhr,2022-01-27 06:58:58+00:00,0.0,dear  ph_user ,reporter
1004298.0,1050785.0,11,1,.wy0w13yhr,2022-01-27 06:58:58+00:00,0.0,attached .,reporter
1004298.0,1050800.0,12,0,4ops,2022-01-27 07:33:26+00:00,0.0,greetings,assignee
1004298.0,1050800.0,12,1,4ops,2022-01-27 07:33:26+00:00,0.0,in the new report you have 2 issues as below :,assignee
1004298.0,1050800.0,12,2,4ops,2022-01-27 07:33:26+00:00,0.0,1- used cipher : please share requimended cipher for tls 1.2 to configure it from our end .,assignee
1004298.0,1050800.0,12,3,4ops,2022-01-27 07:33:26+00:00,0.0,2- self sign certificate : ph_technical dosn't have it is  ph_user  certificate so please share ph_technical for all ph_technical tools to request certificate for the same or we can use one certificate for all ph_technical tools with different ports,assignee
1004298.0,1050984.0,13,0,.wy0w13yhr,2022-01-30 05:13:10+00:00,0.0,greetings,reporter
1004298.0,1050984.0,13,1,.wy0w13yhr,2022-01-30 05:13:10+00:00,0.0,the attached mail contains the list of recommended ciphers for ph_technical .,reporter
1004298.0,1050984.0,13,2,.wy0w13yhr,2022-01-30 05:13:10+00:00,0.0,ph_technical,reporter
1004298.0,1051057.0,14,0,4ops,2022-01-30 07:26:08+00:00,0.0,greetings,assignee
1004298.0,1051057.0,14,1,4ops,2022-01-30 07:26:08+00:00,0.0,all recommended tls 1.2 cipher has been applied along with the new ph_technical,assignee
1004298.0,1051099.0,15,0,.wy0w13yhr,2022-01-30 08:49:10+00:00,0.0,dear  ph_user ,reporter
1004298.0,1051099.0,15,1,.wy0w13yhr,2022-01-30 08:49:10+00:00,0.0,please provide production file fixes so that will move same changes in production .,reporter
1004298.0,1051114.0,16,0,4ops,2022-01-30 09:02:21+00:00,0.0,greetings,assignee
1004298.0,1051114.0,16,1,4ops,2022-01-30 09:02:21+00:00,0.0,is it confirmed by your security team ph_technical,assignee
1004298.0,1051882.0,17,0,.wy0w13yhr,2022-02-01 11:07:36+00:00,0.0,dear  ph_user ,reporter
1004298.0,1051882.0,17,1,.wy0w13yhr,2022-02-01 11:07:36+00:00,0.0,good news after fixing multiple ph_technical in uat environment the updated report the number of ph_technical reduced from ph_technical till ph_technical .,reporter
1004298.0,1051882.0,17,2,.wy0w13yhr,2022-02-01 11:07:36+00:00,0.0,"lets plan for production movement , please prepare files for tls and cipher related issues .",reporter
1004298.0,1052556.0,18,0,.wy0w13yhr,2022-02-06 05:50:28+00:00,0.0,dear  ph_user ,reporter
1004298.0,1052556.0,18,1,.wy0w13yhr,2022-02-06 05:50:28+00:00,0.0,please share release note for all changes which done in uat to fix tls and cipher issues so that we plan for production movement .,reporter
1004298.0,1052693.0,19,0,4ops,2022-02-06 09:23:01+00:00,0.0,greetings,assignee
1004298.0,1052693.0,19,1,4ops,2022-02-06 09:23:01+00:00,0.0,please share all ph_technical folders from production to prepare it for you also please share ph_technical from tomcat and this can be done only after create new certificate to update all configuration once . ,assignee
1004298.0,1052874.0,20,0,.wy0w13yhr,2022-02-07 06:43:18+00:00,0.0,dear  ph_user ,reporter
1004298.0,1052874.0,20,1,.wy0w13yhr,2022-02-07 06:43:18+00:00,0.0,all required files uploaded ( ph_technical folders and ph_technical for all ph_name system from production ) . ,reporter
1004298.0,1053679.0,21,0,4ops,2022-02-10 06:00:24+00:00,0.0,greetings,assignee
1004298.0,1053679.0,21,1,4ops,2022-02-10 06:00:24+00:00,0.0,could you please let me know where you have upload the required file .,assignee
1004298.0,1054001.0,22,0,.wy0w13yhr,2022-02-13 05:53:23+00:00,0.0,dear  ph_user ,reporter
1004298.0,1054001.0,22,1,.wy0w13yhr,2022-02-13 05:53:23+00:00,0.0,the ph_technical added for all ph_name,reporter
1004298.0,1054001.0,22,2,.wy0w13yhr,2022-02-13 05:53:23+00:00,0.0,due to huge size of files couldn't added here i added the same in uat server ph_ip_address under ph_technical ph_path files ”,reporter
1004298.0,1054180.0,23,0,4ops,2022-02-13 11:22:26+00:00,0.0,greetings,assignee
1004298.0,1054180.0,23,1,4ops,2022-02-13 11:22:26+00:00,0.0,attached all new ph_technical and one the files updated will let you know,assignee
1004298.0,1054307.0,24,0,4ops,2022-02-14 04:24:40+00:00,0.0,greetings,assignee
1004298.0,1054307.0,24,1,4ops,2022-02-14 04:24:40+00:00,0.0,"the new ph_technical and ph_technical uploaded to test server under (ph_technical ph_path files ph_path ph_technical files and ph_technical ph_technical ) and you can deploy it at anytime , for the certificates please copy each certificate to the required path which is available under ph_technical under ph_technical then replace the ph_technical and restart the tomcat we recommend no to do all applications at the same time",assignee
1004298.0,1054313.0,25,0,.wy0w13yhr,2022-02-14 04:58:33+00:00,0.0,dear  ph_user ,reporter
1004298.0,1054313.0,25,1,.wy0w13yhr,2022-02-14 04:58:33+00:00,0.0,"thanks a lot for your quick response , lets make it a practice for production deployment we need proper release note .",reporter
1004298.0,1054313.0,25,2,.wy0w13yhr,2022-02-14 04:58:33+00:00,0.0,as you are aware in our bank infra team will deploy the changes not the application owner .,reporter
1004298.0,1054313.0,25,3,.wy0w13yhr,2022-02-14 04:58:33+00:00,0.0,release note should be clear and provide all details in steps .,reporter
1004298.0,1054318.0,26,0,4ops,2022-02-14 05:43:40+00:00,0.0,greetings,assignee
1004298.0,1054318.0,26,1,4ops,2022-02-14 05:43:40+00:00,0.0,for the helpdesk tickets everything is provided over comments and below required steps:,assignee
1004298.0,1054318.0,26,2,4ops,2022-02-14 05:43:40+00:00,0.0,ph_technical,assignee
1004298.0,1054318.0,26,3,4ops,2022-02-14 05:43:40+00:00,0.0,1- stop ph_technical application,assignee
1004298.0,1054318.0,26,4,4ops,2022-02-14 05:43:40+00:00,0.0,2- rename current jar file,assignee
1004298.0,1054318.0,26,5,4ops,2022-02-14 05:43:40+00:00,0.0,3- copy new jar file,assignee
1004298.0,1054318.0,26,6,4ops,2022-02-14 05:43:40+00:00,0.0,4- start application,assignee
1004298.0,1054318.0,26,7,4ops,2022-02-14 05:43:40+00:00,0.0,b- tomcat,assignee
1004298.0,1054318.0,26,8,4ops,2022-02-14 05:43:40+00:00,0.0,1- stop tomcat,assignee
1004298.0,1054318.0,26,9,4ops,2022-02-14 05:43:40+00:00,0.0,2- copy ph_technical file to below folders,assignee
1004298.0,1054318.0,26,10,4ops,2022-02-14 05:43:40+00:00,0.0,ph_technical,assignee
1004298.0,1054318.0,26,11,4ops,2022-02-14 05:43:40+00:00,0.0,onus ph_technical ph_user  ph_path .jks,assignee
1004298.0,1054318.0,26,12,4ops,2022-02-14 05:43:40+00:00,0.0,ph_technical : ph_technical ph_user  ph_path .jks,assignee
1004298.0,1054318.0,26,13,4ops,2022-02-14 05:43:40+00:00,0.0, ph_user  : ph_technical ph_user  ph_path .jks,assignee
1004298.0,1054318.0,26,14,4ops,2022-02-14 05:43:40+00:00,0.0,ph_technical ph_technical ph_user  ph_path .jks,assignee
1004298.0,1054318.0,26,15,4ops,2022-02-14 05:43:40+00:00,0.0, ph_user  ph_technical ph_user  ph_path .jks,assignee
1004298.0,1054318.0,26,16,4ops,2022-02-14 05:43:40+00:00,0.0,ph_technical,assignee
1004298.0,1054318.0,26,17,4ops,2022-02-14 05:43:40+00:00,0.0,3- rename old ph_technical and copy new one,assignee
1004298.0,1054318.0,26,18,4ops,2022-02-14 05:43:40+00:00,0.0,4- start tomcat,assignee
1004298.0,1054411.0,27,0,.wy0w13yhr,2022-02-14 09:38:34+00:00,0.0,dear  ph_user ,reporter
1004298.0,1054411.0,27,1,.wy0w13yhr,2022-02-14 09:38:34+00:00,0.0,"we prepared below release note , please go through it and confirm .",reporter
1004298.0,1054411.0,27,2,.wy0w13yhr,2022-02-14 09:38:34+00:00,0.0,also lets us know if we have to deploy in sequence or its independent .,reporter
1004298.0,1054411.0,27,3,.wy0w13yhr,2022-02-14 09:38:34+00:00,0.0,server ph_ip_address  ph_user  conventional: ph_technical changes stop ph_technical service ph_technical ph_name ph_technical ph_technical ph_technical take backup of the jar file ( ph_technical ) available in ph_technical ph_user  ph_path “ move the new jar file to the above directory start ph_technical ph_technical ph_path .xml changes stop ph_technical take backup of ph_technical file available in ph_technical ph_user  ph_path ” move the new ph_technical ph_technical to the above directory and rename it to ph_technical take backup of ph_technical file available in “ ph_user  ph_path ph_technical move the new ph_technical to the above directory start ph_technical,reporter
1004298.0,1054411.0,27,4,.wy0w13yhr,2022-02-14 09:38:34+00:00,0.0, ph_user  ph_name ph_technical changes stop ph_technical service ph_technical ph_name ph_technical ph_technical ph_technical take backup of the jar file ( ph_technical ) available in ph_technical ph_user  ph_path “ move the new jar file to the above directory start ph_technical ph_technical ph_path .xml changes stop ph_technical take backup of ph_technical file available in ph_technical ph_user  ph_path ” move the new ph_technical ph_technical to the above directory and rename it to ph_technical take backup of ph_technical file available in “ ph_user  ph_path ph_technical move the new ph_technical to the above directory start ph_technical,reporter
1004298.0,1054411.0,27,5,.wy0w13yhr,2022-02-14 09:38:34+00:00,0.0,ph_technical ph_technical changes stop ph_technical service ph_technical ph_name ph_technical ph_technical ph_technical take backup of the jar file ( ph_technical ) available in ph_technical ph_path “ move the new jar file to the above directory start ph_technical ph_technical ph_path .xml changes stop ph_technical take backup of ph_technical file available in ph_technical ph_technical ph_path ph_technical move the new ph_technical ph_technical to the above directory and rename it to ph_technical take backup of ph_technical file available in ph_technical ph_path ph_technical move the new ph_technical to the above directory start ph_technical,reporter
1004298.0,1054411.0,27,6,.wy0w13yhr,2022-02-14 09:38:34+00:00,0.0,ph_technical ph_technical changes stop ph_technical service ph_technical ph_name ph_technical ph_technical ph_technical take backup of the jar file ( ph_technical ) available in ph_technical ph_path “ move the new jar file to the above directory start ph_technical ph_technical ph_path .xml changes stop ph_technical take backup of ph_technical file available in ph_technical ph_technical ph_path ph_technical move the new ph_technical ph_technical to the above directory and rename it to ph_technical take backup of ph_technical file available in ph_technical ph_technical ph_path ph_technical move the new ph_technical to the above directory start ph_technical,reporter
1004298.0,1054411.0,27,7,.wy0w13yhr,2022-02-14 09:38:34+00:00,0.0,server ph_ip_address  ph_user  conventional: ph_technical change stop ph_technical service ph_technical ph_name ph_technical ph_technical ph_technical take backup of the jar file ( ph_technical ) available in ph_technical ph_user  ph_path “ move the new jar file to the above directory start ph_technical ph_technical ph_path .xml changes stop ph_technical take backup of ph_technical file available in ph_technical ph_user  ph_path ” move the new ph_technical ph_technical to the above directory and rename it to ph_technical take backup of ph_technical file available in ph_technical ph_user  ph_path move the new ph_technical to the above directory start ph_technical,reporter
1004298.0,1054411.0,27,8,.wy0w13yhr,2022-02-14 09:38:34+00:00,0.0, ph_user  ph_name ph_technical changes stop ph_technical service ph_technical ph_name ph_technical ph_technical ph_technical take backup of the jar file ( ph_technical ) available in ph_technical ph_path “ move the new jar file to the above directory start ph_technical ph_technical ph_path .xml changes stop ph_technical take backup of ph_technical file available in ph_technical ph_path move the new ph_technical ph_technical to the above directory and rename it to ph_technical take backup of ph_technical file available in ph_technical ph_path move the new ph_technical to the above directory start ph_technical,reporter
1004298.0,1054411.0,27,9,.wy0w13yhr,2022-02-14 09:38:34+00:00,0.0,onus: ph_technical changes stop ph_technical service ph_technical ph_name ph_technical ph_technical ph_technical take backup of the jar file ( ph_technical ) available in ph_technical ph_path ” move the new jar file to the above directory start ph_technical,reporter
1004298.0,1054411.0,27,10,.wy0w13yhr,2022-02-14 09:38:34+00:00,0.0,ph_technical ph_path .xml changes stop ph_technical take backup of ph_technical file available in ph_technical ph_path move the new ph_technical ph_technical to the above directory and rename it to ph_technical take backup of ph_technical file available in ph_technical ph_path move the new ph_technical to the above directory start ph_technical,reporter
1004298.0,1054414.0,28,0,4ops,2022-02-14 09:48:21+00:00,0.0,greetings,assignee
1004298.0,1054414.0,28,1,4ops,2022-02-14 09:48:21+00:00,0.0,"confirmed ,and it is independent tasks you can do each one alone .",assignee
1004298.0,1058429.0,29,0,4ops,2022-03-07 06:19:08+00:00,0.0,greetings,assignee
1004298.0,1058429.0,29,1,4ops,2022-03-07 06:19:08+00:00,0.0,please let us know if everything fine to close this ticket,assignee
1004298.0,1058441.0,30,0,.wy0w13ygq,2022-03-07 06:35:21+00:00,0.0,greetings,others
1004298.0,1058441.0,30,1,.wy0w13ygq,2022-03-07 06:35:21+00:00,0.0,"the change has been applied only in  ph_user  application, in  ph_user  ph_name we counter an issue in the integration with esb.",others
1004298.0,1058441.0,30,2,.wy0w13ygq,2022-03-07 06:35:21+00:00,0.0,"and conventional  ph_user , all online payments getting failed while ph_technical the status of the regulated entity and also the integration with ph_technical failed.",others
1004298.0,1058441.0,30,3,.wy0w13ygq,2022-03-07 06:35:21+00:00,0.0,"we plan today for ph_technical ph_path , kindly go through the deployment steps.",others
1004298.0,1058441.0,30,4,.wy0w13ygq,2022-03-07 06:35:21+00:00,0.0,we need to make sure that nothing is missed.,others
1004298.0,1058441.0,30,5,.wy0w13ygq,2022-03-07 06:35:21+00:00,0.0,in ph_technical there integration with ph_technical,others
1004298.0,1061502.0,31,0,.wy0w13yhr,2022-03-27 05:57:00+00:00,0.0,dear  ph_user ,reporter
1004298.0,1061502.0,31,1,.wy0w13yhr,2022-03-27 05:57:00+00:00,0.0,please take the required action as per the recommendation from our iso team to close this ph_technical reported in  ph_user  and  ph_user  .,reporter
1004298.0,1061502.0,31,2,.wy0w13yhr,2022-03-27 05:57:00+00:00,0.0,“for the those debug directories and sub directories at least can disable by set the response as ph_technical or ph_technical for all the web users ”,reporter
1004298.0,1061502.0,31,3,.wy0w13yhr,2022-03-27 05:57:00+00:00,0.0,please refer to mail for more details,reporter
1004298.0,1061509.0,32,0,4ops,2022-03-27 06:08:03+00:00,0.0,greetings,assignee
1004298.0,1061509.0,32,1,4ops,2022-03-27 06:08:03+00:00,0.0,this can't be done as it is ph_technical request coming from the user direct and can't be disabled .,assignee
1004298.0,1061687.0,33,0,.wy0w13yhr,2022-03-27 11:18:29+00:00,0.0,dear  ph_user ,reporter
1004298.0,1061687.0,33,1,.wy0w13yhr,2022-03-27 11:18:29+00:00,0.0,we have some ph_technical related to our os we just need your confirmation there is no application dependency to fix open ph_technical of java .,reporter
1004298.0,1061687.0,33,2,.wy0w13yhr,2022-03-27 11:18:29+00:00,0.0,example :,reporter
1004298.0,1061687.0,33,3,.wy0w13yhr,2022-03-27 11:18:29+00:00,0.0,red hat: ph_technical moderate: ph_technical security and bug fix update (multiple advisories),reporter
1004298.0,1061687.0,33,4,.wy0w13yhr,2022-03-27 11:18:29+00:00,0.0,i will share the list so that you get more details,reporter
1004298.0,1061691.0,34,0,4ops,2022-03-27 11:24:56+00:00,0.0,greetings,assignee
1004298.0,1061691.0,34,1,4ops,2022-03-27 11:24:56+00:00,0.0,open ph_technical ph_technical is not used in our prod systems,assignee
1004298.0,1061873.0,35,0,.wy0w13yhr,2022-03-28 08:34:32+00:00,0.0,dear  ph_user ,reporter
1004298.0,1061873.0,35,1,.wy0w13yhr,2022-03-28 08:34:32+00:00,0.0,thanks lot for your continues support we managed to close big number of vulnerabilities in all ph_name system but still there are list of ph_technical reported as per the latest report .,reporter
1004298.0,1061873.0,35,2,.wy0w13yhr,2022-03-28 08:34:32+00:00,0.0,we also successfully upgraded our certificates from self-signed to ca certificate for all ph_name application .,reporter
1004298.0,1061873.0,35,3,.wy0w13yhr,2022-03-28 08:34:32+00:00,0.0,i will share the attachment for more details where the iso recommended solution is added .,reporter
1004298.0,1061873.0,35,4,.wy0w13yhr,2022-03-28 08:34:32+00:00,0.0,vulnerabilities ip port status tls ph_path server supports ph_technical cipher algorithms (ph_technical) ph_ip_address ph_technical open tls ph_path server supports the use of static key ciphers ph_ip_address ph_technical open ph_technical  ph_user  smaller than ph_technical bits all ph_name app open tls ph_path server is using commonly used prime numbers all ph_name app open,reporter
1004298.0,1061873.0,35,5,.wy0w13yhr,2022-03-28 08:34:32+00:00,0.0,below are web ph_technical let us know how to disable the http and will do the same in uat then production .,reporter
1004298.0,1061873.0,35,6,.wy0w13yhr,2022-03-28 08:34:32+00:00,0.0,vulnerabilities ip port status http trace method enabled,reporter
1004298.0,1061873.0,35,7,.wy0w13yhr,2022-03-28 08:34:32+00:00,0.0,ph_ip_address,reporter
1004298.0,1061873.0,35,8,.wy0w13yhr,2022-03-28 08:34:32+00:00,0.0,ph_technical,reporter
1004298.0,1061873.0,35,9,.wy0w13yhr,2022-03-28 08:34:32+00:00,0.0,ph_technical,reporter
1004298.0,1061873.0,35,10,.wy0w13yhr,2022-03-28 08:34:32+00:00,0.0,ph_technical,reporter
1004298.0,1061873.0,35,11,.wy0w13yhr,2022-03-28 08:34:32+00:00,0.0,open,reporter
1004298.0,1061887.0,36,0,4ops,2022-03-28 09:02:40+00:00,0.0,greetings,assignee
1004298.0,1061887.0,36,1,4ops,2022-03-28 09:02:40+00:00,0.0,"regarding point 1 an 2 please let me know which application is using ph_technical port and share the ph_technical to check it , for point 3,4 i have applied the recommendation over ph_link so please let the team check it and confirm to apply it to all other applications , regarding to http trace issue please let us know how they are doing the test as it is already disabled",assignee
1004298.0,1061900.0,37,0,.wy0w13yhr,2022-03-28 09:34:37+00:00,0.0,dear  ph_user ,reporter
1004298.0,1061900.0,37,1,.wy0w13yhr,2022-03-28 09:34:37+00:00,0.0,onus using ph_technical port .,reporter
1004298.0,1061923.0,38,0,4ops,2022-03-28 10:38:22+00:00,0.0,greetings,assignee
1004298.0,1061923.0,38,1,4ops,2022-03-28 10:38:22+00:00,0.0,could you please re-share the latest ph_technical from production onus tomcat to check it .,assignee
1004298.0,1062078.0,39,0,.wy0w13yhr,2022-03-29 05:07:06+00:00,0.0,dear  ph_user ,reporter
1004298.0,1062078.0,39,1,.wy0w13yhr,2022-03-29 05:07:06+00:00,0.0,please find the requested ph_technical .,reporter
1004298.0,1062445.0,40,0,4ops,2022-03-30 09:32:25+00:00,0.0,greetings,assignee
1004298.0,1062445.0,40,1,4ops,2022-03-30 09:32:25+00:00,0.0,we have checked the configuration again and this is the only allowed ciphers in the ph_technical 7 which is supported by the onus system,assignee
1004298.0,1062445.0,40,2,4ops,2022-03-30 09:32:25+00:00,0.0,ph_technical,assignee
1004298.0,1062457.0,41,0,.wy0w13yhr,2022-03-30 10:03:03+00:00,0.0,dear  ph_user ,reporter
1004298.0,1062457.0,41,1,.wy0w13yhr,2022-03-30 10:03:03+00:00,0.0,iso confirmed the 2 vulnerability are fixed in ph_ip_address server on port ph_technical you can proceed with other application on same fix .,reporter
1004298.0,1062457.0,41,2,.wy0w13yhr,2022-03-30 10:03:03+00:00,0.0,ph_technical  ph_user  smaller than ph_technical bits tls ph_path server is using commonly used prime numbers,reporter
1004298.0,1062457.0,41,3,.wy0w13yhr,2022-03-30 10:03:03+00:00,0.0,"for the “ http trace method enabled ” vulnerable, false positive for both servers ( ph_ip_address , ph_ip_address ) they will take exception .",reporter
1004298.0,1062457.0,41,4,.wy0w13yhr,2022-03-30 10:03:03+00:00,0.0,in this case no action required .,reporter
1004298.0,1062457.0,41,5,.wy0w13yhr,2022-03-30 10:03:03+00:00,0.0,and what about onus application below ph_technical we already provided the ph_technical .,reporter
1004298.0,1062457.0,41,6,.wy0w13yhr,2022-03-30 10:03:03+00:00,0.0,"we will plan next week production movement for all fixed in one ph_technical , please make sure to provide the fix for all reported ph_technical .",reporter
1004298.0,1062457.0,41,7,.wy0w13yhr,2022-03-30 10:03:03+00:00,0.0,vulnerabilities ip port status tls ph_path server supports ph_technical cipher algorithms (ph_technical) ph_ip_address ph_technical open tls ph_path server supports the use of static key ciphers ph_ip_address ph_technical open,reporter
1004298.0,1062567.0,42,0,4ops,2022-03-31 05:37:58+00:00,0.0,greetings,assignee
1004298.0,1062567.0,42,1,4ops,2022-03-31 05:37:58+00:00,0.0,"for this issue you have to change current cipher in the ph_technical to (ph_technical,ph_technical,  ph_user ) for both ph_technical and ph_name",assignee
1004298.0,1062567.0,42,2,4ops,2022-03-31 05:37:58+00:00,0.0,ph_technical,assignee
1004298.0,1062567.0,42,3,4ops,2022-03-31 05:37:58+00:00,0.0,for the,assignee
1004298.0,1062567.0,42,4,4ops,2022-03-31 05:37:58+00:00,0.0,tls ph_path server supports ph_technical cipher algorithms (ph_technical),assignee
1004298.0,1062567.0,42,5,4ops,2022-03-31 05:37:58+00:00,0.0,tls ph_path server supports the use of static key ciphers,assignee
1004298.0,1062567.0,42,6,4ops,2022-03-31 05:37:58+00:00,0.0,as sent before that you have to check with your security team as current java version doesn't support above ciphers and the only applicable ciphers will be as follow for both ( ph_user  and onus),assignee
1004298.0,1062567.0,42,7,4ops,2022-03-31 05:37:58+00:00,0.0,ph_technical,assignee
1004298.0,1064029.0,43,0,.wy0w13yig,2022-04-10 06:23:20+00:00,0.0,greetings,others
1004298.0,1064029.0,43,1,.wy0w13yig,2022-04-10 06:23:20+00:00,0.0,"we have check the tls version for all system, kindly refer to the table below:",others
1004298.0,1064029.0,43,2,.wy0w13yig,2022-04-10 06:23:20+00:00,0.0,application current tls  ph_user  tlsv1.2 ph_technical tlsv1.2 onus tlsv1.2  ph_user  tlsv1.2  ph_user  i tlsv1.2 ph_technical tlsv1.2 ph_technical tlsv1.2,others
1004298.0,1064029.0,43,3,.wy0w13yig,2022-04-10 06:23:20+00:00,0.0,"as you mentioned tls 1.1 is used, kindly can you confirm in what application tls 1.1 is used and can we disable it ph_technical",others
1004298.0,1064029.0,43,4,.wy0w13yig,2022-04-10 06:23:20+00:00,0.0,"if yes, is there any impact?",others
1004298.0,1064029.0,43,5,.wy0w13yig,2022-04-10 06:23:20+00:00,0.0,and how we can disable it?,others
1004298.0,1064032.0,44,0,4ops,2022-04-10 06:29:54+00:00,0.0,greetings,assignee
